time_id,time,hour,minute,second,AmPm,full_time
93000,09:30:00,9,30,0,AM,09:30:00 AM
95000,09:50:00,9,50,0,AM,09:50:00 AM
93500,09:35:00,9,35,0,AM,09:35:00 AM
94000,09:40:00,9,40,0,AM,09:40:00 AM
95500,09:55:00,9,55,0,AM,09:55:00 AM
94500,09:45:00,9,45,0,AM,09:45:00 AM
103500,10:35:00,10,35,0,AM,10:35:00 AM
100500,10:05:00,10,5,0,AM,10:05:00 AM
101000,10:10:00,10,10,0,AM,10:10:00 AM
105000,10:50:00,10,50,0,AM,10:50:00 AM
105500,10:55:00,10,55,0,AM,10:55:00 AM
104500,10:45:00,10,45,0,AM,10:45:00 AM
102000,10:20:00,10,20,0,AM,10:20:00 AM
100000,10:00:00,10,0,0,AM,10:00:00 AM
103000,10:30:00,10,30,0,AM,10:30:00 AM
101500,10:15:00,10,15,0,AM,10:15:00 AM
104000,10:40:00,10,40,0,AM,10:40:00 AM
102500,10:25:00,10,25,0,AM,10:25:00 AM
115500,11:55:00,11,55,0,AM,11:55:00 AM
110000,11:00:00,11,0,0,AM,11:00:00 AM
112500,11:25:00,11,25,0,AM,11:25:00 AM
115000,11:50:00,11,50,0,AM,11:50:00 AM
111500,11:15:00,11,15,0,AM,11:15:00 AM
112000,11:20:00,11,20,0,AM,11:20:00 AM
114000,11:40:00,11,40,0,AM,11:40:00 AM
113500,11:35:00,11,35,0,AM,11:35:00 AM
114500,11:45:00,11,45,0,AM,11:45:00 AM
113000,11:30:00,11,30,0,AM,11:30:00 AM
111000,11:10:00,11,10,0,AM,11:10:00 AM
110500,11:05:00,11,5,0,AM,11:05:00 AM
122000,12:20:00,12,20,0,PM,00:20:00 PM
124000,12:40:00,12,40,0,PM,00:40:00 PM
124500,12:45:00,12,45,0,PM,00:45:00 PM
121000,12:10:00,12,10,0,PM,00:10:00 PM
125000,12:50:00,12,50,0,PM,00:50:00 PM
123000,12:30:00,12,30,0,PM,00:30:00 PM
121500,12:15:00,12,15,0,PM,00:15:00 PM
123500,12:35:00,12,35,0,PM,00:35:00 PM
120500,12:05:00,12,5,0,PM,00:05:00 PM
122500,12:25:00,12,25,0,PM,00:25:00 PM
125500,12:55:00,12,55,0,PM,00:55:00 PM
120000,12:00:00,12,0,0,PM,00:00:00 PM
130500,13:05:00,13,5,0,PM,01:05:00 PM
133000,13:30:00,13,30,0,PM,01:30:00 PM
132000,13:20:00,13,20,0,PM,01:20:00 PM
131000,13:10:00,13,10,0,PM,01:10:00 PM
131500,13:15:00,13,15,0,PM,01:15:00 PM
130000,13:00:00,13,0,0,PM,01:00:00 PM
135500,13:55:00,13,55,0,PM,01:55:00 PM
132500,13:25:00,13,25,0,PM,01:25:00 PM
135000,13:50:00,13,50,0,PM,01:50:00 PM
134500,13:45:00,13,45,0,PM,01:45:00 PM
134000,13:40:00,13,40,0,PM,01:40:00 PM
133500,13:35:00,13,35,0,PM,01:35:00 PM
145500,14:55:00,14,55,0,PM,02:55:00 PM
143500,14:35:00,14,35,0,PM,02:35:00 PM
142500,14:25:00,14,25,0,PM,02:25:00 PM
140000,14:00:00,14,0,0,PM,02:00:00 PM
144500,14:45:00,14,45,0,PM,02:45:00 PM
143000,14:30:00,14,30,0,PM,02:30:00 PM
141500,14:15:00,14,15,0,PM,02:15:00 PM
141000,14:10:00,14,10,0,PM,02:10:00 PM
140500,14:05:00,14,5,0,PM,02:05:00 PM
142000,14:20:00,14,20,0,PM,02:20:00 PM
144000,14:40:00,14,40,0,PM,02:40:00 PM
145000,14:50:00,14,50,0,PM,02:50:00 PM
152000,15:20:00,15,20,0,PM,03:20:00 PM
150000,15:00:00,15,0,0,PM,03:00:00 PM
155000,15:50:00,15,50,0,PM,03:50:00 PM
152500,15:25:00,15,25,0,PM,03:25:00 PM
153000,15:30:00,15,30,0,PM,03:30:00 PM
151500,15:15:00,15,15,0,PM,03:15:00 PM
150500,15:05:00,15,5,0,PM,03:05:00 PM
155500,15:55:00,15,55,0,PM,03:55:00 PM
153500,15:35:00,15,35,0,PM,03:35:00 PM
154000,15:40:00,15,40,0,PM,03:40:00 PM
154500,15:45:00,15,45,0,PM,03:45:00 PM
151000,15:10:00,15,10,0,PM,03:10:00 PM
