date_id,date,year,month,month_name,day,day_of_week,day_name,week_of_year,quarter
20240105,2024-01-05,2024,1,January,5,6,Friday,0,1
20200103,2020-01-03,2020,1,January,3,6,Friday,0,1
20220107,2022-01-07,2022,1,January,7,6,Friday,1,1
20240112,2024-01-12,2024,1,January,12,6,Friday,1,1
20200110,2020-01-10,2020,1,January,10,6,Friday,1,1
20210108,2021-01-08,2021,1,January,8,6,Friday,1,1
20230106,2023-01-06,2023,1,January,6,6,Friday,1,1
20240119,2024-01-19,2024,1,January,19,6,Friday,2,1
20220114,2022-01-14,2022,1,January,14,6,Friday,2,1
20230113,2023-01-13,2023,1,January,13,6,Friday,2,1
20210115,2021-01-15,2021,1,January,15,6,Friday,2,1
20200117,2020-01-17,2020,1,January,17,6,Friday,2,1
20240126,2024-01-26,2024,1,January,26,6,Friday,3,1
20220121,2022-01-21,2022,1,January,21,6,Friday,3,1
20230120,2023-01-20,2023,1,January,20,6,Friday,3,1
20200124,2020-01-24,2020,1,January,24,6,Friday,3,1
20210122,2021-01-22,2021,1,January,22,6,Friday,3,1
20220128,2022-01-28,2022,1,January,28,6,Friday,4,1
20230127,2023-01-27,2023,1,January,27,6,Friday,4,1
20200131,2020-01-31,2020,1,January,31,6,Friday,4,1
20210129,2021-01-29,2021,1,January,29,6,Friday,4,1
20240202,2024-02-02,2024,2,February,2,6,Friday,4,1
20220204,2022-02-04,2022,2,February,4,6,Friday,5,1
20240209,2024-02-09,2024,2,February,9,6,Friday,5,1
20200207,2020-02-07,2020,2,February,7,6,Friday,5,1
20210205,2021-02-05,2021,2,February,5,6,Friday,5,1
20230203,2023-02-03,2023,2,February,3,6,Friday,5,1
20230210,2023-02-10,2023,2,February,10,6,Friday,6,1
20200214,2020-02-14,2020,2,February,14,6,Friday,6,1
20210212,2021-02-12,2021,2,February,12,6,Friday,6,1
20240216,2024-02-16,2024,2,February,16,6,Friday,6,1
20220211,2022-02-11,2022,2,February,11,6,Friday,6,1
20230217,2023-02-17,2023,2,February,17,6,Friday,7,1
20220218,2022-02-18,2022,2,February,18,6,Friday,7,1
20240223,2024-02-23,2024,2,February,23,6,Friday,7,1
20210219,2021-02-19,2021,2,February,19,6,Friday,7,1
20200221,2020-02-21,2020,2,February,21,6,Friday,7,1
20220225,2022-02-25,2022,2,February,25,6,Friday,8,1
20200228,2020-02-28,2020,2,February,28,6,Friday,8,1
20230224,2023-02-24,2023,2,February,24,6,Friday,8,1
20210226,2021-02-26,2021,2,February,26,6,Friday,8,1
20240301,2024-03-01,2024,3,March,1,6,Friday,8,1
20230303,2023-03-03,2023,3,March,3,6,Friday,9,1
20200306,2020-03-06,2020,3,March,6,6,Friday,9,1
20220304,2022-03-04,2022,3,March,4,6,Friday,9,1
20240308,2024-03-08,2024,3,March,8,6,Friday,9,1
20210305,2021-03-05,2021,3,March,5,6,Friday,9,1
20200313,2020-03-13,2020,3,March,13,6,Friday,10,1
20220311,2022-03-11,2022,3,March,11,6,Friday,10,1
20240315,2024-03-15,2024,3,March,15,6,Friday,10,1
20210312,2021-03-12,2021,3,March,12,6,Friday,10,1
20230310,2023-03-10,2023,3,March,10,6,Friday,10,1
20200320,2020-03-20,2020,3,March,20,6,Friday,11,1
20210319,2021-03-19,2021,3,March,19,6,Friday,11,1
20230317,2023-03-17,2023,3,March,17,6,Friday,11,1
20220318,2022-03-18,2022,3,March,18,6,Friday,11,1
20240322,2024-03-22,2024,3,March,22,6,Friday,11,1
20210326,2021-03-26,2021,3,March,26,6,Friday,12,1
20200327,2020-03-27,2020,3,March,27,6,Friday,12,1
20220325,2022-03-25,2022,3,March,25,6,Friday,12,1
20230324,2023-03-24,2023,3,March,24,6,Friday,12,1
20230331,2023-03-31,2023,3,March,31,6,Friday,13,1
20240405,2024-04-05,2024,4,April,5,6,Friday,13,2
20200403,2020-04-03,2020,4,April,3,6,Friday,13,2
